id,difficulty
0,C2
1,A2
2,B2
3,B1
4,C2
5,C2
6,A2
7,A2
8,C2
9,A2
10,A1
11,A2
12,B1
13,C1
14,A1
15,A2
16,B2
17,A2
18,C2
19,A1
20,C2
21,C1
22,B2
23,C1
24,B1
25,C2
26,A2
27,A1
28,B2
29,B2
30,A1
31,A2
32,A1
33,A2
34,A2
35,A2
36,C1
37,B1
38,A1
39,A1
40,A2
41,C1
42,B2
43,C1
44,C1
45,C1
46,B2
47,C2
48,A1
49,A2
50,C2
51,A1
52,B2
53,A2
54,A1
55,B2
56,B2
57,C1
58,B2
59,A2
60,B2
61,A2
62,C1
63,C1
64,B2
65,B2
66,B2
67,A2
68,B2
69,C2
70,A1
71,B1
72,B2
73,A2
74,B2
75,A2
76,B2
77,C1
78,B2
79,B2
80,A2
81,A1
82,B2
83,B2
84,A2
85,C2
86,B1
87,B2
88,B2
89,B1
90,C2
91,A2
92,B2
93,C2
94,B2
95,B1
96,B1
97,A1
98,B1
99,C1
100,C1
101,B2
102,A2
103,A2
104,C2
105,C2
106,A1
107,A2
108,B1
109,C1
110,B2
111,A1
112,C2
113,C1
114,C2
115,B2
116,B2
117,A2
118,A2
119,B2
120,A2
121,B2
122,B2
123,C1
124,A1
125,C2
126,C1
127,C1
128,C1
129,C1
130,A2
131,A1
132,C1
133,C2
134,C2
135,C2
136,B1
137,C2
138,A2
139,B1
140,A2
141,C1
142,C2
143,C2
144,B2
145,C1
146,A1
147,C2
148,C1
149,B1
150,B2
151,B2
152,A1
153,A2
154,A1
155,C2
156,C1
157,A1
158,A2
159,A2
160,A2
161,A1
162,B1
163,B2
164,C1
165,C1
166,A1
167,B2
168,B2
169,B2
170,C1
171,B1
172,A1
173,B1
174,A1
175,C1
176,C1
177,C1
178,B1
179,C2
180,B1
181,C1
182,B2
183,C2
184,B2
185,B1
186,B1
187,B1
188,C2
189,C2
190,A1
191,C1
192,B2
193,B2
194,B1
195,A1
196,C1
197,B2
198,C1
199,B1
200,C1
201,C1
202,A1
203,A1
204,C1
205,A2
206,B1
207,B2
208,A2
209,A1
210,B1
211,A1
212,C1
213,B2
214,B2
215,B1
216,B1
217,C2
218,B1
219,B2
220,B2
221,B2
222,A1
223,B1
224,A1
225,C2
226,A2
227,A2
228,A2
229,A2
230,C1
231,C1
232,C2
233,A2
234,B1
235,B2
236,C2
237,A2
238,C1
239,B2
240,B1
241,B1
242,A1
243,A2
244,B2
245,A1
246,B1
247,B2
248,A2
249,B2
250,B1
251,B2
252,C1
253,C1
254,B2
255,C2
256,B1
257,A1
258,A1
259,C2
260,A1
261,A2
262,A1
263,B1
264,B2
265,C1
266,C1
267,B1
268,B2
269,C1
270,A1
271,B1
272,B1
273,C1
274,A2
275,B2
276,B2
277,C2
278,C2
279,B1
280,A1
281,C1
282,C1
283,A2
284,B2
285,B2
286,C1
287,C2
288,C1
289,C2
290,B2
291,B1
292,A2
293,B1
294,C2
295,C2
296,C2
297,B2
298,B1
299,A2
300,A1
301,B1
302,C1
303,A1
304,B1
305,A1
306,A2
307,C1
308,C1
309,A2
310,C2
311,B1
312,B2
313,C2
314,C2
315,C2
316,A2
317,C2
318,B1
319,A1
320,C2
321,B2
322,C1
323,C2
324,A2
325,A1
326,C1
327,C1
328,A2
329,B1
330,C1
331,A2
332,A1
333,B2
334,A2
335,B1
336,A2
337,A2
338,C1
339,C1
340,B1
341,A1
342,B1
343,B2
344,C2
345,A2
346,A1
347,C1
348,A1
349,B1
350,B2
351,B1
352,B2
353,B2
354,B2
355,C2
356,B2
357,B1
358,B2
359,C2
360,A2
361,C2
362,B2
363,B1
364,C1
365,C2
366,B1
367,B2
368,A2
369,B2
370,B1
371,A1
372,C2
373,A1
374,C2
375,B1
376,A1
377,B1
378,B1
379,B1
380,A2
381,A1
382,B2
383,B1
384,C1
385,C2
386,C2
387,A1
388,B2
389,A2
390,C2
391,A2
392,A1
393,C1
394,C2
395,B2
396,A2
397,B2
398,B2
399,A1
400,B2
401,A1
402,A1
403,B2
404,A2
405,C2
406,B1
407,A2
408,A2
409,C1
410,B1
411,C1
412,C2
413,C2
414,B2
415,C1
416,C2
417,B2
418,A2
419,A2
420,A2
421,C1
422,B2
423,A1
424,B1
425,B2
426,B1
427,B2
428,B2
429,B1
430,B2
431,A1
432,B2
433,B2
434,A1
435,A1
436,C2
437,C2
438,A1
439,B1
440,C1
441,A2
442,C1
443,B2
444,B1
445,A1
446,B1
447,A1
448,C2
449,B1
450,C1
451,A1
452,A1
453,A2
