Vocabulaire;Grammaire;Conjugaison;Ortographe;Oral
L’environnement – Environment;Exprimer les quantités – Expressing quantities;Verbes du troisième groupe au présent de l’indicatif – 3rd group verbs in present tense;Écrire le son [o] – Writing the sound [o] (eau, au, o…);Welcome anybody
La santé et le corps humain – Health and human body;Pronoms toniques – Tonic pronouns;Le conditionnel présent – The conditional : how to form it and when to use it (j’aimerais, je voudrais…);L’éllision – The elision in French ;Congratulate someone
Le sport – Sports;Le pronom “on” – The pronoun ON;Le subjonctif présent (introduction) – Introduction to the subjunctive (present);Et ou EST – ET or EST;Ask, Follow and Give instructions to someone (using Present Simple, Imperative and Infinitive
Le travail – Work;Le COD et le COI – Direct object and Indirect object;Être, avoir, venir, aller : présent, passé composé, imparfait, futur simple, conditionnel présent;É ou ER – É or ER ;Book a ticket, Cancel an order
Les régions de France et quelques spécialités – Regions in France and specialties;Les pronoms COD et COI – Direct object pronouns and indirect object pronouns;Devoir, pouvoir, vouloir : présent, passé composé, imparfait, futur simple, conditionnel présent;Ou / Où ;Place an Order (food, ingredients, etc)
La cuisine – The kitchen;Le pronom “en” – The pronoun EN;Revise: impératif;;Do simple money transactions (buy, sell, do a banking transaction
L’hôtellerie et la restauration – Hotels and restaurants ;Le pronom “y” – The pronoun Y;Revise: passé composé VS imparfait;;Ask, Give and Understand information
Le tourisme – Tourism;Les expressions utilisées pour la comparaison – Expressions used for comparison;;;Thank someone
Les expressions imagées – Figurative expressions;Les pronoms relatifs QUI et QUE – The use of QUI and QUE as relative pronouns;;;Describe activities and personal experiences in the past
Les unités de mesure – Units of measurement;Exprimer la possession – Express possession;;;Describe daily activities and habits
Les pourcentages – Percentages;Les pronoms possessifs – Possessive pronouns (le mien, la mienne, les miens, le tien, la tienne…);;;Talk about the future: explain future plans
Les fractions – Fractions;Exprimer la durée – Express duration;;;Give and justify one's opinion
Les événements au travail – Work events;Exprimer la fréquence – Express frequency;;;Tell and Explain preferences
La maison (décoration, style…) – Housing (decoration, style…);Exprimer la condition avec “si” – Express condition with “si”;;;Introduce someone
Les fêtes et célébrations – Celebrations;Les pronoms démonstratifs – Demonstrative pronouns (celui, celle, ceux…);;;
;Bon VS Bien – The use of Bon and Bien;;;
;Beaucoup VS Très – The use of Beaucoup and Très;;;
;Les adverbes de manière “-ment” – Adverbs of manner ending in “-ment”;;;
;Les verbes qui utilisent À et DE – Verbs using À and DE;;;
;Donner un conseil – Give an advice;;;
;Donner un ordre – Give a command / an order;;;
;Formuler des questions en français : inversion, est-ce que ou intonation – Formulate questions in French : inversion, est-ce que or intonation;;;
;Le discours rapporté au présent – Reported speech at the present tense (il dit que…);;;
;Les différences entre à et chez – Differences between à and chez;;;
;Les conjonctions de coordination – Correlative conjunctions (mais, ou, et, donc, or, ni, car).;;;
;L’accord du participe passé – Agreement of past participle (passé composé with être and avoir);;;
;La préposition POUR – The preposition POUR;;;
;Demander à quelqu’un de faire quelque chose – Ask someone to do something;;;
